text,HS,RS,MS
sopa arroz emoji cara neutral emoji,0,0,0
mamá ver lucifer parecer bien,0,0,0
gusto emoji caro sonreir ojo corazón emoji emoji cara babear emoji,0,0,0
usuario usuario joda men ver él,0,0,0
mejor vista url,0,0,0
usuario usuario usuario usuario jaja,0,0,0
usuario usuario haz,0,0,0
usuario usuario tres,0,0,0
sintonizar chistesordonez usuario encuarentenar felizdomingo url url,0,0,0
usuario entender,0,0,0
usuario amar,0,0,0
jaja deber borde desespero coger pelo hacer show url,0,0,0
,0,0,0
usuario usuario crudo gusto grscias man película español comedia recomendar tks,0,0,0
quedastir ser emoji nota musical emoji,0,0,0
cuanto querer amor emoji nota musical emoji emoji trompetar emoji,0,0,0
ir tatuar yo brazo emoji cara sacar lengua emoji,0,0,0
idea película netflix url,0,0,0
aceptar intermedio constreñimiento empleador,0,0,0
aquídijo zorroqué buscasbusco hombre url,0,0,0
dagrdreporta emoji advertencia emoji fuerte lluvia sur área metropolitano valle aburrá emoji nube lluvia emoji emoji nube rayo emoji,0,0,0
usuario jaja decir evidencia,0,0,0
usuario pésame mucho fuerza todo familia,0,0,0
usuario usuario después,0,0,0
viendollevo 44 minuto,0,0,0
amor soñe rikarén emoji nota musical emoji emoji trompetar emoji,0,0,0
tampoco dar cuenta jajaba,0,0,0
usuario crack vez usuario emoji cara pensativo emoji,0,0,0
usuario usuario usuario según decir daniela,0,0,0
acabar publicar foto monterio capital ganadero colombia url,0,0,0
usuario usuario usuario fin devolver,0,0,0
quedatir amar pasión criticar emoji caro sonreir ojo corazón emoji,0,0,0
usuario comooo,0,0,0
querer subir peso,0,0,0
usuario usuario gracias,0,0,0
bro usuario casi alcanzar 30k ir escuchar temita emoji mano señal victorio tono piel claro medio emoji emoji ola mar emoji url,0,0,0
usuario usuario juan manuel santos secuaz deber ser investigar,0,0,0
tanda parcial,0,0,0
tirar risa url,0,0,0
querer cachorrito emoji cara perro emoji,0,0,0
usuario aun ver,0,0,0
total mente acuerdo url,0,0,0
alguno motivo hoy disfrutar trabajo emoji cara llorar risa emoji,0,0,0
convertido parte almaya consolar si tambiénusuario,0,0,0
alpha crecer url,0,0,0
usuario ir url,0,0,0
emoji bocadillo pensamiento emoji imaginación emoji ojo emoji ojo emoji corazón rojo emoji almalareynawonder emoji corazón rojo emoji emoji infinito emoji,0,0,0
así valer url,0,0,0
querer mejor amigo,0,0,0
usuario amén,0,0,0
darme cuenta materializar frase suelto terminar ahogándome,0,0,0
usuario usuario cuentico bodega campaña hacer cosa bien,0,0,0
poder ver increíble programa película ver yourl,0,0,0
usuario placer saludarte amiga cómo,0,0,0
usuario querer quitar él coni bocar,0,0,0
mamá fajar él atollar 3 carne hoy amoo emoji cara sonreir corazón emoji emoji cara sonreir estrella emoji,0,0,0
usuario gusto decir milo,0,0,0
usuario serio emoji cara llorar risa emoji emoji cara llorar risa emoji emoji cara llorar risa emoji,0,0,0
usuario enamorast emoji caro sonreir ojo corazón emoji emoji cara sonreir ojo corazón emoji,0,0,0
usuario usuario emoji mano levantado emoji postulo ayudarte,0,0,0
usuario hacer plastilina primario emoji mono ojo tapado emoji,0,0,0
dar información pecado cierto usuario,0,0,0
decir obvio buscar estereotipo,0,0,0
usuario mucho gracia amiga hermoso,0,0,0
afortunadamente vivo bogotá alcaldesa usuario dejentrabajar,0,0,0
así terminar semana url,0,0,0
usuario baño emoji cara ojo blanco emoji,0,0,0
usuario tí amigo,0,0,0
usuario intentar perder control cualquiera cosita,0,0,0
butterflyday dreamwhitney houstonlo contar mientras hacías dormido,0,0,0
dia cuarentena mami baila musica poner emoji cara llorar risa emoji emoji mujer bailar emoji,0,0,0
usuario mor 1jajaj,0,0,0
usuario 702 mal contado emoji cara feliz ojo sonrient emoji,0,0,0
imaginación base ignorante poder parecer él insensatezlareynawonder emoji corazón rojo emoji emoji infinito emoji,0,0,0
usuario tele trabajo emoji caro revolver él risa emoji,0,0,0
dijiste si entender obra saber decir tú pasar 2hora observándo mirar obra,0,0,0
usuario aca vender chuzo venir muestro,0,0,0
montoya grande grande,0,0,0
usuario usuario jaja pa decir si jaja,0,0,0
hecho prometer hacer cuarentén emoji cara revolver él risa emoji,0,0,0
usuario usuario envío físico,0,0,0
usuario amor platónico volver twittear foto emoji corazón roto emoji emoji corazón roto emoji emoji corazón roto emoji,0,0,0
usuario gracias amor emoji cara lanzar beso emoji emoji caro lanzar beso emoji emoji caro lanzar beso emoji,0,0,0
2 caso covid cordoba crush cuídate amor fa después ir casar,0,0,0
sentir amor orq inmensidad,0,0,0
ayyy amorrr emoji gato sonreir ojo corazón emoji emoji cara babear emoji emoji cara babear emoji,0,0,0
usuario imposible amor extreñu,0,0,0
usuario amar amor,0,0,0
pa l vivo usuario pues,0,0,0
tomarar café 600am emoji nota musical emoji,0,0,0
fin ver amor emoji cara favor emoji,0,0,0
usuario pa onde amor emoji cara desanimado emoji,0,0,0
usuario guapo amorcito emoji corazón giratorio emoji,0,0,0
querer dar tú beso amorrr,0,0,0
amor esperar querer hacer feliz,0,0,0
usuario caso aparte amor,0,0,0
amor platónico todo vida gran jk ver lindo tacón emoji cara sonreir estrella emoji emoji cara sonreir estrella emoji emoji cara sonreir estrella emoji,0,0,0
usuario hola amore hermoso url,0,0,0
